Line 1: 
Line 2: 
Line 3: 
Line 4: 
Line 5: 
Line 6: 
Line 7: 
Line 8: 
Line 9: 
Line 10: 
Line 11: 
Line 12: 
Line 13: 
Line 1: 
Line 2: 
Line 3: 
Line 4: 
Line 5: 
Line 6: 
Line 7: 
Line 8: 
Line 9: 
Line 10: 
Line 11: 
Line 12: 
Line 13: 
Line 1: marmot
Line 2: hospitalise
Line 3: yoghurt
Line 4: quintuples
Line 5: Burns's
Line 6: Gerry
Line 7: overall's
Line 8: Amparo's
Line 9: Cains
Line 10: countryman
Line 11: pretext's
Line 12: Clydesdale
Line 13: yucking
Line 14: dour
Line 15: Wycherley
Line 16: likelihoods
Line 1: Jubal's
Victory
Line 2: finny
Line 3: scalawag's
Line 4: Uruguay
Line 5: pox
Line 6: frontispiece's
Line 7: hearer's
Line 8: backwardness's
Line 9: wildcat
Line 10: lab's
Line 11: sucked
Line 12: perspiring
Victory
Line 13: chronicles
Line 14: unwed
